lambda,carrot_quality,carrot_latency,carrot_slo_ttft,carrot_slo_tpot,carrot_slo_e2e,ours_quality,ours_latency,ours_slo_ttft,ours_slo_tpot,ours_slo_e2e,irt_quality,irt_latency,irt_slo_ttft,irt_slo_tpot,irt_slo_e2e,umr_quality,umr_latency,umr_slo_ttft,umr_slo_tpot,umr_slo_e2e,num_prompts
0.0,0.6201376421304609,40.076678265308416,0.5258160237388724,0.7673590504451039,0.5246290801186944,0.5808523409363746,11.23782422705291,0.9994065281899109,0.9934718100890207,0.9994065281899109,0.6201376421304609,40.076678265308416,0.5258160237388724,0.7673590504451039,0.5246290801186944,0.6201376421304609,40.076678265308416,0.5258160237388724,0.7673590504451039,0.5246290801186944,1685
0.1,0.6272155688622755,40.38539715633902,0.5204747774480712,0.7566765578635015,0.5169139465875371,0.581452581032413,11.22634806010419,0.9994065281899109,0.9934718100890207,0.9994065281899109,0.6283064033512867,40.765522727768214,0.51513353115727,0.7537091988130564,0.5109792284866469,0.6293237582286058,41.89499353159783,0.4943620178041543,0.7471810089020772,0.4908011869436202,1685
0.2,0.6352007189934092,41.47106936253851,0.49970326409495547,0.7293768545994065,0.49258160237388726,0.5834633853541417,11.247335988477712,0.9994065281899109,0.9916913946587537,0.9994065281899109,0.6365188735769921,41.79107118374516,0.49554896142433236,0.7287833827893175,0.4884272997032641,0.6365050867743866,43.311423862157305,0.47359050445103856,0.7252225519287834,0.46706231454005936,1685
0.30000000000000004,0.6431995206710606,42.12752286715748,0.4890207715133531,0.7086053412462908,0.4807121661721068,0.5831235011990408,11.255623419843724,0.998813056379822,0.9899109792284867,0.998813056379822,0.6462829736211031,42.52701521768768,0.4824925816023739,0.7038575667655786,0.47359050445103856,0.6463794135248355,44.67054422418158,0.45222551928783383,0.6967359050445104,0.44094955489614246,1685
0.4,0.6529976019184653,42.85872068518347,0.4807121661721068,0.6765578635014837,0.4658753709198813,0.5848021582733813,11.43339963638464,0.9982195845697329,0.9827893175074184,0.997626112759644,0.6551020408163266,43.956320549967735,0.4611275964391691,0.6652818991097923,0.44510385756676557,0.6549371633752245,46.788440597375704,0.41602373887240357,0.6611275964391692,0.4023738872403561,1685
0.5,0.6572929171668669,43.88036790389336,0.4646884272997033,0.6581602373887241,0.44688427299703265,0.6059052757793766,12.859106301129394,0.9881305637982196,0.9252225519287833,0.9792284866468842,0.6686674669867947,45.336707053481646,0.44629080118694364,0.6172106824925816,0.42195845697329376,0.6645721125074806,48.403302967088514,0.3910979228486647,0.6356083086053412,0.37329376854599405,1685
0.6000000000000001,0.6691546762589928,44.68076875089538,0.4617210682492582,0.6166172106824925,0.4344213649851632,0.631733653269346,19.071333725586843,0.8949554896142433,0.7839762611275964,0.8682492581602373,0.6787942411517698,46.82333252592681,0.42729970326409494,0.5881305637982196,0.39643916913946586,0.6704790419161678,49.56232140255258,0.37566765578635014,0.6035608308605341,0.3519287833827893,1685
0.7000000000000001,0.673247453565009,44.597793011566296,0.46943620178041545,0.5839762611275965,0.4373887240356083,0.6483483483483483,22.954308549303683,0.8391691394658753,0.7181008902077152,0.8041543026706232,0.6874625074985004,48.70130564409477,0.40118694362017804,0.5531157270029674,0.36379821958456976,0.6789646918013167,49.21622287342739,0.3875370919881306,0.5602373887240356,0.3566765578635015,1685
0.8,0.6776213301378071,44.333433503849925,0.4836795252225519,0.5382789317507418,0.4427299703264095,0.676648681055156,30.566453261898957,0.7323442136498516,0.5928783382789318,0.686053412462908,0.6911517696460708,50.893392736480216,0.37091988130563797,0.5086053412462908,0.3287833827893175,0.689431137724551,48.158386648585605,0.41543026706231456,0.48189910979228484,0.37210682492581604,1685
0.9,0.6836826347305389,43.835100579332526,0.5002967359050445,0.4771513353115727,0.4433234421364985,0.6962829736211031,42.90228831279879,0.5347181008902078,0.3857566765578635,0.4611275964391691,0.692466986794718,50.715117138146645,0.3804154302670623,0.4367952522255193,0.3252225519287834,0.6891916167664671,47.15803928912924,0.4403560830860534,0.4201780415430267,0.3863501483679525,1685
1.0,0.6866467065868264,43.00985777441755,0.5287833827893175,0.4130563798219585,0.4593471810089021,0.694511097780444,45.45306075447037,0.4908011869436202,0.3264094955489614,0.4029673590504451,0.694511097780444,45.45306075447037,0.4908011869436202,0.3264094955489614,0.4029673590504451,0.6949610077984403,45.73612307922069,0.486646884272997,0.3074183976261128,0.40712166172106823,1685
